t,c_pitch_vel_ref,waist_pos_ref,wheel_vel_ref
0.582,0.0,0.3448583692800009,0.0
0.584,0.0,0.33732717578812593,0.0
0.586,0.0,0.329722467540001,0.0
0.588,0.0,0.3220471067043759,0.0
0.59,0.0,0.31430400000000097,0.0
0.592,0.0,0.30649609667062594,0.0
0.594,0.0,0.298626386460001,0.0
0.596,0.0,0.29069789758687603,0.0
0.598,0.0,0.28271369472000113,0.0
0.6,0.0,0.27467687695312604,0.0
0.602,0.0,0.26659057578000106,0.0
0.604,0.0,0.25845795306937613,0.0
0.606,0.0,0.2502821990400011,0.0
0.608,0.0,0.24206653023562613,0.0
0.61,0.0,0.23381418750000116,0.0
0.612,0.0,0.2255284339518762,0.0
0.614,0.0,0.21721255296000125,0.0
0.616,0.0,0.2088698461181262,0.0
0.618,0.0,0.20050363122000123,0.0
0.62,0.0,0.19211724023437615,0.0
0.622,0.0,0.1837140172800014,0.0
0.624,0.0,0.17529731660062628,0.0
0.626,0.0,0.1668705005400013,0.0
0.628,0.0,0.15843693751687643,0.0
0.63,0.0,0.15000000000000127,0.0
0.632,0.0,0.14156306248312645,0.0
0.634,0.0,0.13312949946000124,0.0
0.636,0.0,0.12470268339937636,0.0
0.638,0.0,0.11628598272000132,0.0
0.64,0.0,0.10788275976562664,0.0
0.642,0.0,0.09949636878000136,0.0
0.644,0.0,0.09113015388187652,0.0
0.646,0.0,0.08278744704000156,0.0
0.648,0.0,0.07447156604812656,0.0
0.65,0.0,0.0661858125000016,0.0
0.652,0.0,0.05793346976437653,0.0
0.654,0.0,0.04971780096000168,0.0
0.656,0.0,0.04154204693062649,0.0
0.658,0.0,0.03340942422000162,0.0
0.66,0.0,0.025323123046876866,0.0
0.662,0.0,0.017286305280001756,0.0
0.664,0.0,0.009302102413126637,0.0
0.666,0.0,0.0013736135400017235,0.0
0.668,0.0,-0.006496096670623284,0.0
0.67,0.0,-0.014303999999998346,0.0
0.672,0.0,-0.022047106704373272,0.0
0.674,0.0,-0.029722467539998337,0.0
0.676,0.0,-0.03732717578812322,0.0
0.678,0.0,-0.04485836927999815,0.0
0.68,0.0,-0.05231323242187309,0.0
0.682,0.0,-0.05968899821999795,0.0
0.684,0.0,-0.06698295030562292,0.0
0.686,0.0,-0.07419242495999787,0.0
0.6880000000000001,0.0,-0.08131481313937322,0.0
0.6900000000000001,0.0,-0.08834756249999795,0.0
0.6920000000000001,0.0,-0.0952881794231227,0.0
0.6940000000000001,0.0,-0.10213423103999784,0.0
0.6960000000000001,0.0,-0.10888334725687324,0.0
0.6980000000000001,0.0,-0.11553322277999764,0.0
0.7000000000000001,0.0,-0.12208161914062333,0.0
0.7020000000000001,0.0,-0.12852636671999845,0.0
0.704,0.0,-0.13486536677437205,0.0
0.706,0.0,-0.14109659345999767,0.0
0.708,0.0,-0.14721809585812257,0.0
0.71,0.0,-0.15322799999999767,0.0
0.712,0.0,-0.15912451089187274,0.0
0.714,0.0,-0.164905914539998,0.0
0.716,0.0,-0.1705705799756224,0.0
0.718,0.0,-0.1761169612799974,0.0
0.72,0.0,-0.18154359960937225,0.0
0.722,0.0,-0.1868491252199972,0.0
0.724,0.0,-0.19203225949312275,0.0
0.726,0.0,-0.19709181695999745,0.0
0.728,0.0,-0.20202670732687317,0.0
0.73,0.0,-0.20683593749999657,0.0
0.732,0.0,-0.21151861361062188,0.0
0.734,0.0,-0.2160739430399975,0.0
0.736,0.0,-0.2205012364443723,0.0
0.738,0.0,-0.22479990977999675,0.0
0.74,0.0,-0.22896948632812253,0.0
0.742,0.0,-0.2330095987199975,0.0
0.744,0.0,-0.23691999096187247,0.0
